Product_Name,Stars,Ratings,Reviews,current_price,MRP,channel,Operating_system,Picture_qualtiy,Speaker,Frequency
Adsun,3.8,6742,930,46999,66900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Thomson,4.6,2427,585,13999,20990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate
Mi,4.3,40877,3658,59999,109990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Thomson,4.1,54251,7937,39999,59990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Adsun,3.8,6742,930,28999,39000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Nokia,4.3,23271,3975,8449,20999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Hisense,4.4,0,0,20999,35999,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Hyundai,4.2,0,0,33999,46999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate
Croma,3.9,0,0,35999,44900,Netflix|Youtube,Operating System: Linux,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate
Thomson,4.4,22032,5954,6990,15000,HD Ready 1366 x 786 Pixels,16 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade Panel
KODAK,4.1,14221,2269,17999,20999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Nokia,4.3,11336,1966,6399,10999,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+Grade
Adsun,3.8,6742,930,9299,15599,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Croma,4.2,0,0,72990,109900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Blaupunkt,4.4,6977,1601,28999,41999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate
SONY,4.7,621,131,20499,27999,Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,30 W Speaker Output,60 Hz Refresh Rate
SAMSUNG,4.4,7344,883,81990,116900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Sansui,4.2,0,0,13999,26990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
LG,4.4,0,0,27990,36990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
LG,4.5,801,121,75999,134900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Croma,4.2,1773,217,26999,41990,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
MOTOROLA,4.4,0,0,49990,106990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Yuwa,1.8,0,0,32999,46499,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate
Coocaa,4.4,0,0,6190,17990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade Premium Dot Free Panel
Adsun,3.8,6742,930,23999,29900,Netflix|Prime Video|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,50 Hz Refresh Rate
Thomson,4.4,4207,868,15499,20000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate
SONY,4.6,838,147,26999,39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,40 W Speaker Output,60 Hz Refresh Rate
Croma,4.2,0,0,8299,22690,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Candes Domestic Warranty
Croma,4.2,0,0,21990,40000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
KODAK,4.4,31763,7301,31990,59990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,19 W Speaker Output,60 Hz Refresh Rate
Dyanora,4.1,0,0,30999,58990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
HUIDI,4,4864,558,33999,46999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate
Adsun,3.8,6742,930,26999,35390,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SONY,4.8,0,0,15990,29990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Blaupunkt,4.6,3380,928,37999,54999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,48 W Speaker Output,60 Hz Refresh Rate
KODAK,4.4,31763,7301,32999,45999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,39 W Speaker Output,60 Hz Refresh Rate
Croma,3.9,0,0,45999,60999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840×2160 Pixels,44 W Speaker Output,60 Hz Refresh Rate
SAMSUNG,4.3,6717,707,26999,31999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Hyundai,4.8,0,0,29990,38900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Hisense,4.3,913,147,36999,49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
Adsun,3.8,6742,930,59999,59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
SAMSUNG,4.6,0,0,33999,48999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate
ONIDA,4.4,591,102,7299,12499,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SONY,4.8,0,0,15230,16400,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,1 Year Comprehensive Warranty and 1 Year Additional on Panel
Croma,4.2,1773,217,39999,55999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate
Hyundai,4.2,0,0,54999,75000,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
iFFALCON,4.3,18688,2568,11990,18990,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade Panel
KODAK,4.6,597,160,15990,29990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate
Adsun,3.8,6742,930,6199,12999,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade
InnoQ,4.1,0,0,43999,89990,Netflix|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate
SONY,4.6,4341,738,97900,179900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate
Nokia,4.3,23271,3975,41349,75990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3860 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Croma,4.2,0,0,36999,75000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
MOTOROLA,4.4,9687,1532,33999,46990,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate
Candes,4.1,0,0,49999,59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840×2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate
Croma,0,0,0,34999,46999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Adsun,3.8,6742,930,48999,69999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
TCL,4.3,0,0,14999,20000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate
iFFALCON,4.3,18688,2568,41999,72000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Thomson,4.6,2427,585,45999,61999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate
Croma,3.9,0,0,13499,23990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate
Sansui,4.1,0,0,19999,29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,40 W Speaker Output,60 Hz Refresh Rate
TCL,4.3,0,0,25499,33000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Nokia,4.3,11336,1966,23999,40000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate
Adsun,3.8,6742,930,62999,79999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840×2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate
Nokia,4.3,23243,3975,5999,10192,HD Ready 1366*768 Pixels,20 WATT Speaker Output,60 Hz Refresh Rate,1 x HDMI | 1 x USB,LED
